date,train_id,route_id,section_id,origin_station,destination_station,distance_km,scheduled_section_time_min,actual_section_time_min,current_delay_min,average_speed_kmph,congestion_level,weather_condition,operational_event,dwell_time_min,historical_section_avg_time
2025-01-01,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,32,0,81.2,0.88,Clear,Normal,5,47
2025-01-01,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,52,0,80.3,0.15,Clear,Normal,9,68
2025-01-01,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,63,0,87.9,0.26,Clear,Normal,6,86
2025-01-01,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,78,0,93.8,0.11,Clear,Normal,2,110
2025-01-01,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,31,16,84.1,0.23,Clear,Normal,5,47
2025-01-01,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,48,14,86.4,0.18,Clear,Normal,7,68
2025-01-01,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,59,10,94.3,0.63,Clear,Normal,4,86
2025-01-01,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,76,0,96.3,0.51,Clear,Normal,3,110
2025-01-01,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,44,0,59.1,0.5,Clear,Normal,8,47
2025-01-01,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,59,11,70.3,0.26,Clear,Normal,2,68
2025-01-01,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,83,18,66.7,0.38,Clear,Normal,7,86
2025-01-01,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,105,32,70.1,0.13,Clear,Normal,3,110
2025-01-01,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,72,28,36.6,0.91,Clear,Normal,7,47
2025-01-01,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,91,67,46.0,0.61,Clear,Normal,5,68
2025-01-01,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,110,106,50.5,0.45,Heavy Rain,Normal,3,86
2025-01-01,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,155,147,47.5,0.97,Clear,Normal,5,110
2025-01-02,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,32,16,81.2,0.8,Clear,Normal,5,47
2025-01-02,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,52,15,80.3,0.28,Clear,Normal,9,68
2025-01-02,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,65,15,85.2,0.17,Clear,Normal,8,86
2025-01-02,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,81,11,90.4,0.87,Clear,Normal,5,110
2025-01-02,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,35,2,74.6,0.38,Clear,Normal,9,47
2025-01-02,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,45,4,92.1,0.35,Clear,Normal,4,68
2025-01-02,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,57,0,97.6,0.74,Clear,Normal,2,86
2025-01-02,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,77,0,95.1,0.33,Clear,Normal,4,110
2025-01-02,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,44,0,59.1,0.13,Heavy Rain,Normal,8,47
2025-01-02,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,67,11,62.0,0.73,Clear,Normal,6,68
2025-01-02,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,86,26,64.4,0.78,Clear,Normal,5,86
2025-01-02,14163,Route_North_1,CNB-LKO,CNB,LKO,123,92,111,43,66.4,0.73,Clear,Normal,5,110
2025-01-02,19031,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,67,26,39.3,0.67,Clear,Normal,7,47
2025-01-02,19031,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,90,60,46.5,0.47,Clear,Normal,7,68
2025-01-02,19031,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,124,98,44.8,0.91,Clear,Normal,8,86
2025-01-02,19031,Route_North_1,CNB-LKO,CNB,LKO,123,92,146,153,50.4,0.68,Clear,Normal,2,110
2025-01-03,12004,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,41,0,63.6,0.21,Light Fog,Normal,9,47
2025-01-03,12004,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,53,8,78.8,0.39,Light Fog,Normal,5,68
2025-01-03,12004,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,90,9,61.7,0.97,Light Fog,Normal,5,86
2025-01-03,12004,Route_North_1,CNB-LKO,CNB,LKO,123,92,99,30,74.0,0.55,Light Fog,Normal,6,110
2025-01-03,12301,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,37,16,70.6,0.13,Light Fog,Normal,3,47
2025-01-03,12301,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,50,20,83.0,0.15,Light Fog,Normal,9,68
2025-01-03,12301,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,61,18,91.2,0.32,Light Fog,Normal,6,86
2025-01-03,12301,Route_North_1,CNB-LKO,CNB,LKO,123,92,93,10,78.8,0.99,Light Fog,Normal,8,110
2025-01-03,14163,Route_North_1,NDLS-GZB,NDLS,GZB,44,33,66,0,39.6,0.43,Light Fog,Normal,3,47
2025-01-03,14163,Route_North_1,GZB-ALJN,GZB,ALJN,70,52,92,33,45.3,0.58,Light Fog,Normal,9,68
2025-01-03,14163,Route_North_1,ALJN-CNB,ALJN,CNB,93,69,97,73,57.1,0.39,Light Fog,Normal,9,86
